order,list,item,cond,target_position,prepositions,order_of_mention,target_number,comp_number,context,firstDisplay,secondDisplay,expTrials,pair_ID,comp_unique_ID1,animacy_cong,target_gender,comp1_animacy,target,competitor,recordingName
6,1,X80,9,,,1,singular,plural,The daisy is on Number 5 and it is next to the lifeguard.,X80_9_1.jpg,X80_9_2.jpg,N,,,,,,daisy,and,N_List1_Order6_Item_X80_Cond9
6,2,X80,9,,,1,singular,plural,The daisy is on Number 5 and it is next to the lifeguard.,X80_9_1.jpg,X80_9_2.jpg,N,,,,,,daisy,and,N_List2_Order6_Item_X80_Cond9
6,3,X80,9,,,1,singular,plural,The daisy is on Number 5 and it is next to the lifeguard.,X80_9_1.jpg,X80_9_2.jpg,N,,,,,,daisy,and,N_List3_Order6_Item_X80_Cond9
6,4,X80,9,,,1,singular,plural,The daisy is on Number 5 and it is next to the lifeguard.,X80_9_1.jpg,X80_9_2.jpg,N,,,,,,daisy,and,N_List4_Order6_Item_X80_Cond9
7,1,P6,9,,,2,singular,,The cricketer is below the pipe and he is on Number 5.,P6_1.jpg,P6_2.jpg,N,,,,,,cricketer,below,N_List1_Order7_Item_P6_Cond9
7,2,P6,9,,,2,singular,,The cricketer is below the pipe and he is on Number 5.,P6_1.jpg,P6_2.jpg,N,,,,,,cricketer,below,N_List2_Order7_Item_P6_Cond9
7,3,P6,9,,,2,singular,,The cricketer is below the pipe and he is on Number 5.,P6_1.jpg,P6_2.jpg,N,,,,,,cricketer,below,N_List3_Order7_Item_P6_Cond9
7,4,P6,9,,,2,singular,,The cricketer is below the pipe and he is on Number 5.,P6_1.jpg,P6_2.jpg,N,,,,,,cricketer,below,N_List4_Order7_Item_P6_Cond9
8,1,22,1,4,below,1,plural,singular,The grandfathers are below the ball and they are on Number 4.,E22_1_1.jpg,E22_1_2.jpg,Y,12,3,different,masc,inanimate,grandfather,ball,Y_List1_Order8_Item_22_Cond1
8,2,22,3,4,below,1,plural,plural,The grandfathers are below the balls and they are on Number 4.,E22_3_1.jpg,E22_3_2.jpg,Y,12,3,different,masc,inanimate,grandfather,balls,Y_List2_Order8_Item_22_Cond3
8,3,22,4,4,below,1,plural,plural,The grandfathers are below the girls and they are on Number 4.,E22_4_1.jpg,E22_4_2.jpg,Y,11,3,same,masc,animate,grandfather,girls,Y_List3_Order8_Item_22_Cond4
8,4,22,2,4,below,1,plural,singular,The grandfathers are below the girl and they are on Number 4.,E22_2_1.jpg,E22_2_2.jpg,Y,11,3,same,masc,animate,grandfather,girl,Y_List4_Order8_Item_22_Cond2
9,1,X20,9,,,1,plural,singular,The diamonds are next to the earth and they are on Number 6.,X20_9_1.jpg,X20_9_2.jpg,N,,,,,,earth,next-to,N_List1_Order9_Item_X20_Cond9
9,2,X20,9,,,1,plural,singular,The diamonds are next to the earth and they are on Number 6.,X20_9_1.jpg,X20_9_2.jpg,N,,,,,,earth,next-to,N_List2_Order9_Item_X20_Cond9
9,3,X20,9,,,1,plural,singular,The diamonds are next to the earth and they are on Number 6.,X20_9_1.jpg,X20_9_2.jpg,N,,,,,,earth,next-to,N_List3_Order9_Item_X20_Cond9
9,4,X20,9,,,1,plural,singular,The diamonds are next to the earth and they are on Number 6.,X20_9_1.jpg,X20_9_2.jpg,N,,,,,,earth,next-to,N_List4_Order9_Item_X20_Cond9
10,1,X62,9,,,1,singular,,The mechanic is above the tyre and he is on Number 5.,X62_9_1.jpg,X62_9_2.jpg,N,,,,,,mechanic,above,N_List1_Order10_Item_X62_Cond9
10,2,X62,9,,,1,singular,,The mechanic is above the tyre and he is on Number 5.,X62_9_1.jpg,X62_9_2.jpg,N,,,,,,mechanic,above,N_List2_Order10_Item_X62_Cond9
10,3,X62,9,,,1,singular,,The mechanic is above the tyre and he is on Number 5.,X62_9_1.jpg,X62_9_2.jpg,N,,,,,,mechanic,above,N_List3_Order10_Item_X62_Cond9
10,4,X62,9,,,1,singular,,The mechanic is above the tyre and he is on Number 5.,X62_9_1.jpg,X62_9_2.jpg,N,,,,,,mechanic,above,N_List4_Order10_Item_X62_Cond9
11,1,25,4,4,below,1,plural,plural,The fairies are below the kings and they are on Number 4.,E25_4_1.jpg,E25_4_2.jpg,Y,3,1,same,fem,animate,fairy,kings,Y_List1_Order11_Item_25_Cond4
11,2,25,2,4,below,1,plural,singular,The fairies are below the king and they are on Number 4.,E25_2_1.jpg,E25_2_2.jpg,Y,3,1,same,fem,animate,fairy,king,Y_List2_Order11_Item_25_Cond2
11,3,25,1,4,below,1,plural,singular,The fairies are below the throne and they are on Number 4.,E25_1_1.jpg,E25_1_2.jpg,Y,1,1,different,fem,inanimate,fairy,throne,Y_List3_Order11_Item_25_Cond1
11,4,25,3,4,below,1,plural,plural,The fairies are below the thrones and they are on Number 4.,E25_3_1.jpg,E25_3_2.jpg,Y,1,1,different,fem,inanimate,fairy,thrones,Y_List4_Order11_Item_25_Cond3
12,1,X38,9,,,2,singular,,The horses are on Number 5 and they are on the row below the sponge.,X38_9_1.jpg,X38_9_2.jpg,N,,,,,,sponge,and,N_List1_Order12_Item_X38_Cond9
12,2,X38,9,,,2,singular,,The horses are on Number 5 and they are on the row below the sponge.,X38_9_1.jpg,X38_9_2.jpg,N,,,,,,sponge,and,N_List2_Order12_Item_X38_Cond9
12,3,X38,9,,,2,singular,,The horses are on Number 5 and they are on the row below the sponge.,X38_9_1.jpg,X38_9_2.jpg,N,,,,,,sponge,and,N_List3_Order12_Item_X38_Cond9
12,4,X38,9,,,2,singular,,The horses are on Number 5 and they are on the row below the sponge.,X38_9_1.jpg,X38_9_2.jpg,N,,,,,,sponge,and,N_List4_Order12_Item_X38_Cond9
13,1,37,3,3,next-to,1,plural,plural,The barbers are next to the roses and they are on Number 3.,E37_3_1.jpg,E37_3_2.jpg,Y,36,9,different,masc,inanimate,barber,roses,Y_List1_Order13_Item_37_Cond3
13,2,37,1,3,next-to,1,plural,singular,The barbers are next to the rose and they are on Number 3.,E37_1_1.jpg,E37_1_2.jpg,Y,36,9,different,masc,inanimate,barber,rose,Y_List2_Order13_Item_37_Cond1
13,3,37,2,3,next-to,1,plural,singular,The barbers are next to the bride and they are on Number 3.,E37_2_1.jpg,E37_2_2.jpg,Y,34,9,same,masc,animate,barber,bride,Y_List3_Order13_Item_37_Cond2
13,4,37,4,3,next-to,1,plural,plural,The barbers are next to the brides and they are on Number 3.,E37_4_1.jpg,E37_4_2.jpg,Y,34,9,same,masc,animate,barber,brides,Y_List4_Order13_Item_37_Cond4
14,1,X69,9,,,1,singular,singular,The backpacker is below the pot and he is on Number 4.,X69_9_1.jpg,X69_9_2.jpg,N,,,,,,backpacker,below,N_List1_Order14_Item_X69_Cond9
14,2,X69,9,,,1,singular,singular,The backpacker is below the pot and he is on Number 4.,X69_9_1.jpg,X69_9_2.jpg,N,,,,,,backpacker,below,N_List2_Order14_Item_X69_Cond9
14,3,X69,9,,,1,singular,singular,The backpacker is below the pot and he is on Number 4.,X69_9_1.jpg,X69_9_2.jpg,N,,,,,,backpacker,below,N_List3_Order14_Item_X69_Cond9
14,4,X69,9,,,1,singular,singular,The backpacker is below the pot and he is on Number 4.,X69_9_1.jpg,X69_9_2.jpg,N,,,,,,backpacker,below,N_List4_Order14_Item_X69_Cond9
15,1,24,2,2,next-to,1,plural,singular,The cashiers are next to the prince and they are on Number 2.,E24_2_1.jpg,E24_2_2.jpg,Y,6,2,same,fem,animate,cashier,prince,Y_List1_Order15_Item_24_Cond2
15,2,24,4,2,next-to,1,plural,plural,The cashiers are next to the princes and they are on Number 2.,E24_4_1.jpg,E24_4_2.jpg,Y,6,2,same,fem,animate,cashier,princes,Y_List2_Order15_Item_24_Cond4
15,3,24,3,2,next-to,1,plural,plural,The cashiers are next to the swords and they are on Number 2.,E24_3_1.jpg,E24_3_2.jpg,Y,5,2,different,fem,inanimate,cashier,swords,Y_List3_Order15_Item_24_Cond3
15,4,24,1,2,next-to,1,plural,singular,The cashiers are next to the sword and they are on Number 2.,E24_1_1.jpg,E24_1_2.jpg,Y,5,2,different,fem,inanimate,cashier,sword,Y_List4_Order15_Item_24_Cond1
16,1,X27,9,,,2,singular,plural,"On Number 3, there are olives and they are above the cat.",X27_9_1.jpg,X27_9_2.jpg,N,,,,,,olives,above,N_List1_Order16_Item_X27_Cond9
16,2,X27,9,,,2,singular,plural,"On Number 3, there are olives and they are above the cat.",X27_9_1.jpg,X27_9_2.jpg,N,,,,,,olives,above,N_List2_Order16_Item_X27_Cond9
16,3,X27,9,,,2,singular,plural,"On Number 3, there are olives and they are above the cat.",X27_9_1.jpg,X27_9_2.jpg,N,,,,,,olives,above,N_List3_Order16_Item_X27_Cond9
16,4,X27,9,,,2,singular,plural,"On Number 3, there are olives and they are above the cat.",X27_9_1.jpg,X27_9_2.jpg,N,,,,,,olives,above,N_List4_Order16_Item_X27_Cond9
17,1,P5,9,,,1,plural,,The tractors are on Number 4 and they are below the wheelbarrow.,P5_1.jpg,P5_2.jpg,N,,,,,,tractors,on,N_List1_Order17_Item_P5_Cond9
17,2,P5,9,,,1,plural,,The tractors are on Number 4 and they are below the wheelbarrow.,P5_1.jpg,P5_2.jpg,N,,,,,,tractors,on,N_List2_Order17_Item_P5_Cond9
17,3,P5,9,,,1,plural,,The tractors are on Number 4 and they are below the wheelbarrow.,P5_1.jpg,P5_2.jpg,N,,,,,,tractors,on,N_List3_Order17_Item_P5_Cond9
17,4,P5,9,,,1,plural,,The tractors are on Number 4 and they are below the wheelbarrow.,P5_1.jpg,P5_2.jpg,N,,,,,,tractors,on,N_List4_Order17_Item_P5_Cond9
18,1,15,1,5,next-to,1,plural,singular,The priests are next to the glass and they are on Number 5.,E15_1_1.jpg,E15_1_2.jpg,Y,28,7,different,masc,inanimate,priest,glass,Y_List1_Order18_Item_15_Cond1
18,2,15,3,5,next-to,1,plural,plural,The priests are next to the glasses and they are on Number 5.,E15_3_1.jpg,E15_3_2.jpg,Y,28,7,different,masc,inanimate,priest,glasses,Y_List2_Order18_Item_15_Cond3
18,3,15,2,5,next-to,1,plural,singular,The priests are next to the waitress and they are on Number 5.,E15_2_1.jpg,E15_2_2.jpg,Y,27,7,same,masc,animate,priest,waitress,Y_List3_Order18_Item_15_Cond2
18,4,15,4,5,next-to,1,plural,plural,The priests are next to the waitresses and they are on Number 5.,E15_4_1.jpg,E15_4_2.jpg,Y,27,7,same,masc,animate,priest,waitresses,Y_List4_Order18_Item_15_Cond4
19,1,X31,9,,,2,singular,singular,The socket is next to the detective and he is on Number 2.,X31_9_1.jpg,X31_9_2.jpg,N,,,,,,socket,next-to,N_List1_Order19_Item_X31_Cond9
19,2,X31,9,,,2,singular,singular,The socket is next to the detective and he is on Number 2.,X31_9_1.jpg,X31_9_2.jpg,N,,,,,,socket,next-to,N_List2_Order19_Item_X31_Cond9
19,3,X31,9,,,2,singular,singular,The socket is next to the detective and he is on Number 2.,X31_9_1.jpg,X31_9_2.jpg,N,,,,,,socket,next-to,N_List3_Order19_Item_X31_Cond9
19,4,X31,9,,,2,singular,singular,The socket is next to the detective and he is on Number 2.,X31_9_1.jpg,X31_9_2.jpg,N,,,,,,socket,next-to,N_List4_Order19_Item_X31_Cond9
20,1,X15,9,,,1,singular,plural,"The train is on Number 4, and it is below the cameras.",X15_9_1.jpg,X15_9_2.jpg,N,,,,,,train,and,N_List1_Order20_Item_X15_Cond9
20,2,X15,9,,,1,singlar,plural,"The train is on Number 4, and it is below the cameras.",X15_9_1.jpg,X15_9_2.jpg,N,,,,,,train,and,N_List2_Order20_Item_X15_Cond9
